unique Electoral Area,not unique electoral area,circle code
"Zubada Park Multan
Road // Noor Allah Colony
Bastami Road // Andar Nagar Bastami
Road // Noor Allah Colony
Zubada Park // Zubada Park // Bank Colony Almumtaz
Road", ,1853901
"Friends Colony - Bhala
Stap // Jinnah Colony- Bastami
Road", ,1853902
Jinnah Colony // Nawa Kot // Qadir Park Samanabad // Gulzab Colony Nawa Kot // Nawa Kot Samanabad,  / Jinnah Colony,1853903
"Lawyer Mall Anarkali // Dyosamaj Road / Sanat
Nagar // Dyosamaj Road / Hostel // D.A.V Hostel // Khalisa Hostel Hota
Singh Road", ,1854001
"Mohalla Liaqat Abad
Aqab M.A.O College // Radha Street-Liaqat
Abad // Charch Road- Jain
Mandir // Laik Road - Rasala Bazar", ,1854002
"Dhobi Mandi // Mola Bukish Road // Jain Mandir Kacha Laik
Road // Farid Kot - Mizang // Kapoor Thala House
Anarkali // Nabha Road Purani
Anarkali", ,1854003
"State Bank Regal Chowk // Fan Road // Mizang Ada // Masjid Shohida, Queens
Road // Ghangha Ram Hospital", ,1854004
"Qadir Park Muslim
Colony // Muslim Colony Pram Nagar // Pram Nagar Rajh Garh", ,1854101
"Awami Flat Rajh Garh // Sandha Road Rajh Garh // Main Market Riwaz
Garden // Riwaz Garden", ,1854102
"Muslim Colony Rajh
Garh // Rajh Garh", ,1854103
"Awami Flat L-Block
Riwaz Garden // Ram Nagar Rajh Garh // Sham Nagar Choburji // Sham Nagar Rajh Garh", ,1854104
Saadi Road Islam pura // Islam Pura // Alamgir Road // Alamgir Road Islam Pura // Ansari Road,  / Ansari Road / Islam Pura,1854201
Umer Road // Umer Road Islam Pura,  / Umer Road,1854202
"Out Fall Road // Firdos Park Ghani
Mohalla // Mohalla Gunj Buksh
Road // Khabar Park // Usman Ghani Road // Gali No.42-49 Sanat
Nagar // Hota Singh Road - Sanat Nagar // Dhayo Samaj Road
Sanat Nagar",  / Out Fall Road,1854301
"Ram Nagar Dhyo Samaj Road Sanat Nagar // Ram Nagar Sanat Nagar // Nehro Park Sanat Nagar // Musafir Street - Sanat
Nagar // Umer Road // Muslim Colony - Bastami Road",  / Umer Road,1854302
"Zahoor Ud Din Road
Sandha Khurd // Sadaqat Park Sandha
Khurad // Sandha Khurd // Muhammadi Park Sandha Road // National Town Sandha Road","  / Sadaqat Park Sandha
Khurad",1854401
"Bazar Hakima // Umer Road Sadaqat
Park // Haji Park", ,1854402
