unique Electoral Area,not unique electoral area,circle code
"Mohalla Peeray Wali
Khooi Amar Siddhu // Dera Baba Riaz Shah
Peeray Wali Khooi // Myo Mohalla Peeray
Wali Khooi // Mohalla Malika Amar
Siddhu Pind // Mohalla Issaiya Darbar
Bhola Peer // Mohalla Waheed Park Amar Siddhu Pind", ,1880905
"Mohalla Chowk Amar
Siddhu // Bhola Peer - Darbar
Block Amar Siddhu // Madina Chowk Waheed
Park // Bhullay Shah Park", ,1880906
Firdos Park Ghazi Road // Firdos Park // Firdos Park General Hospital Walton Road, ,1881001
"Firdos Park Gali No.1 // Must Iqbal Road // Firdos Park Mast Iqbal Road // Must Iqbal Road Majeed
Pura // Muhammad Pura Must Iqbal Road // Mohammad pura Chungi Mast Iqbal Road", ,1881002
"Main Bazar Chungi
Amar Siddhu // Muhammad Pura Chungi Must Iqbal Road // Muhammad Pura Mehboob Colony // Gulstan Colony No.2
Chungi Amar Siddhu", ,1881003
"Main Bazar Muhammad Pura Chungi Amar
Siddhu // Muhammad Pura
Chungi Amar Siddhu // Mehboob Colony
Chungi Amar Siddhu // Ghulstan Colony No.2 Chungi Amar Siddhu // Stara Colony No.1
Chungi Amar Siddhu // Stara Colony No.1 Chungi Amar Siddhu", ,1881004
"Shoukat Town // Chowk Jamia Masjid
Noor Yasin town // Mohalla Muhammadi
Road Yaseen Town // Abid Colony Shouqat
Town Ghazi Road // Jamia Masjid Muhammadi Abid Colony Hamza Chowk
Ghazi Road // Madni Chowk Jamia
Masjid Noor Javed Colony // Defence Fort Society
Ghazi Road", ,1881101
"4 Block Phase AA Defense Housing
Authority Lahore // 4 Block-Phase BB
Defense Housing Authority // 4 Block Phase CC Defense Housing
Authority Lahore // 4 Block Phase DD Defense Housing
Authority // 4 Block Phase EE Defense Housing
Authority // 4 Block Phase Defense Housing Authority // 4 Block Phase GG
Defense Housing Authority // 4 Block Phase JJ Defense Housing Authority
Lahore // 4 Block Phase HH Defense Housing
Authority // 4 Block Phase GG Defense Housing
Authority", ,1881102
"Gulistan Colony No. 2 Gulistan Colony No. 2
Street No. 6-10 // Mohalla Muhammadi Road // Gulistan Colony No. 2
Street No. 12 // Street No. 12-14 Gulistan Colony No. 2 // Street No. 15-14 Gulistan Colony No. 3 // Street No. 4-7 Gulistan Colony No. 4", ,1881103
"Housing Scheme PCH
Block A // Block B Punjab Cooperative Housing
Society // Block C Punjab
Cooperative Housing Society // Block D Punjab Cooperative Housing
Society // Block E Punjab Cooperative Housing
Society // Block E Mosque Punjab Cooperative Housing
Society", ,1881104
"Block R-Phase II Defense Housing Authority // Block Q Phase II
Defense Housing Authority // Block Q Phase II Defense Housing
Authority // Block V Phase II Defense Housing Authority // Block U-Phase II Defense Housing
Authority", ,1881105
"GhosiaPark Bhatta
Chowk // Rehaman Walas Bhatta
Chowk // Rehaman Walas Shah
Khawar Town // Cant View Badian Road // Chung Khurd Badian
Road // Chung Khurd Badian
Road Bhatta Chowk // Rehman Walas Shah
Khawar Town", ,1881106
"Kamahan ( Buhadar
Abad) // Block-D Sui Gas Colony
Walton // Housing Building Finance Housing
Scheme // Defence Housing Commercial Area JE-
Block Phase-5 // Defence Housiing Authority - DF Block
Phase-5 // Defence Housing
Authority - B-Block Phase-5 // Saqib Road Badian Road","  / Kamahan ( Buhadar
Abad)",1881107
"Defence Housing
Authority - S-Block Phase-2 // Defence Housing Authority - S-Block
Phase-2 // DHA, T block Phase II, // Defence Housing Authority D-Block Phase-
5 // Defence Housing Authority A-Block Phase-
5", ,1881108
"Al Falah Town Badian
Road // Al Ameen Housing
Socieity Badian Road // Manawala Badian Road // A-Block Punjab Small
Industry Housing Society // B-Block Punjab Small Industry Housing
Society // C-Block Punjab Small Industry Housing
Society // D-Blok Punjab Small Industry Housiing
Society // D-F-G-H Block Punjab Small Industry Housing
Society", ,1881109
Aatoo Asil // Khanokharni, ,2590101
"Gajjumata ( Gulzar
colony) // Gajjumata ( Asif town
No.12) // Gajjumata ( Green Scheme cap Housing
Scheme) // Gajjumata ( Robi Nala
Madina Town) // Gajjumata ( Haveli
Samanbad) // Gajjumata ( Faisal Town
/ Shalimar Town) // Gajjumata ( Tiba
Ansarian) // Gajjumata ( Khalid
Town) // Gajjumata ( Shahzad
colony) // Gajjumata ( Rehmat
Park) // Gajjumata ( Millat / Gulshan Muneer
Housing Scheme) // Gajjumata ( Gulshan Muneer Housing
scheme // Gajjumata ( Gulshan Muneer Housing scheme Street No.3-4) // Gajjumata ( New Avenue colony/ gulshan Muneer Colony) // Gajjumata ( Rehmat
Park / Millat Town) // Gajjumata ( Afzal Park /
Millat Town) // Gajjumata ( Muhammad Pura Sawa) // Gajjumata ( Muhammad Pura / Haroon Park) // Gajjumata ( Haveli Hakim Wali / Haroon
Park) // Gajjumata ( Ghosia Park
/ Niko Wali Haveli) // Gajjumata ( Ghosia
park) // Gajjumata // Gajjumata ( Ghulam
Hussain colony) // Gajjumata (Asif town
No12) // Gajjumata (Robi Nala
Madina town) // Gajjumata (Khalid
Town) // Gajjumata ( Rehmat
Park / Khalid town) // Gajjumata ( Gulshan Muneer Housing
Schme) // Gajjumata ( Rehmat
Park/ Millat Town) // Gajjumata ( Ghosia
Park)", ,2590102
"Jhulkay // Jhulkay ( Post office
kahna Nau) // Jhulkay (Anwar Wali
Haveli / Central park) // Jhulkay ( Shareef park)", ,2590103
"Kahna Kuhna ( Kashmir
Pati) // Kahna Kuhna // Kahna Kuhna ( Purana
Muhallah) // Kahna Kuhna ( Muhallah
/ Muhallah Meowatian) // Kahna Kuhna ( Gulshan Shafiq colony)", ,2590104
Keet // Keet ( Gaon) // Theh Janib, ,2590105
"Kot Mela Ram // Kot Purs Ram ( Azad
town)", ,2590106
Kot Islam pura // Kot Nabi Baksh, ,2590107
Sraich, ,2590108
Shahzad, ,2590109
Muhammadi pur, ,2590110
"Attari Saroba ( Pak Arab
Society) // Attari Saroba ( Waheed Brothers colony / Shadab colony) // Attari Saroba ( Awan
Market) // Attari Saroba // Attari Saroba ( Sulman
Park) // Attari Saroba ( Shamas
Park) // Attari Saroba ( Attari
Park Phase No 1) // Attari Saroba ( usman
Park) // Attari Saroba ( usman
Park / Yasir) // Attari Saroba ( Hassan
park) // Attari Saroba ( Haji park
) // Attari Saroba ( Jinah
colony / Sofi Abad) // Attari Saroba ( Wada Pind Meowati
Muhallah) // Attari Saroba ( Waseem
Park) // Attari Saroba ( Wada
Pind Meowati Muhallah) // Attari Saroba ( Ali Park/
Shama colony) // Attari Saroba ( Sufi
Abad) // Attari Saroba ( Wada
Pind)","  / Attari Saroba ( Jinah
colony / Sofi Abad) / Attari Saroba ( Sufi
Abad) / Attari Saroba ( Waseem
Park)",2590201
"Attari Saroba ( Sufi
Abad) // Attari Saroba ( Jinah
colony / Sofi Abad) // Attari Saroba ( Waseem
Park) // Attari Saroba ( Azhar Town / Mubarik Town) // Attari Saroba ( Nishter Colony / Yasir Block) // Attari Saroba ( Nishter Colony / Ahsan Block) // Attari Saroba ( Nishter Colony / Usama Block) // Attari Saroba ( Nishter Colony / Amaar Block) // Attari Saroba ( Sulman Block Nishter Colony) // Attari Saroba ( Nishter
colony) // Attari Saroba ( Bilal
Block) // Attari Saroba ( Kashmir block/ Nawab Park) // Attari Saroba (Rehman Park / sufi Park)","  / Attari Saroba ( Jinah
colony / Sofi Abad) / Attari Saroba ( Sufi
Abad) / Attari Saroba ( Waseem
Park)",2590202
"Dalu Kalan And Khurd (
Gulo Kot) // Dalu Kalan And Khurd // Dalu Kalan and Khurd (
Youhana Abad) // Dalu kalan and Khurd (
Khaliq Nagar) // Dalu Kalan and Khurd ( E.H. Block Youhanabad) // Dalu Kalan and Khurd ( D. Block Youhanabad) // Dalu Kalan And Khurd ( Youhana Abad, Nashtir colony) // Dalu Kalan And Khurd ( J.C block Youhanabad) // Dalu Kalan And Khurd ( A- block Youhanabad) // Dalu Kalan And Khurd ( Setlait Town / Arif
Town) // Dalu Kalan And Khurd (Nishter colony / Haji di
Khui) // Dalu Kalan ( Khayban Karim / Nishter Colony // Dalu Kalan And Khurd
(Nishter colony / Haji di Khui) // Dalu Kalan And Khurd
(Anum Road / Glexco town) // Dalu Kalan And Khurd (Asif town No.2 / Glexco
town) // Dalu Kalan and Khurd (
Glexico town) // Dalu Kalan And Khurd (Haveli Hassan Khan/
Easa Nagar) // Dalu Kalan And Khurd
(Khaliq Nagar) // Dalu Kalan And Khurd
(Youhanabad) // Dalu kalan and Khurd // Dalu Kalan And Khurd (A. Block Youhanabad) // Dalu Kalan And Khurd (Khayaban karim / Nishter Colony) // Dalu Kalan And Khurd
(Haji Di Khui) // Dalu Kalan And Khurd (Haveli Hassan Khan /
Easa Nager) // Dalu Kalan And Khurd
(Haveli Hassan Khan / Easa Nager)", ,2590203
Dev Khur and kalan // Ghtol, ,2590204
Khanger // Balher, ,2590205
"Kamahan ( Muhallah Meowati / Bilal Masjid) // Kamahan ( Bhatti
colony) // Kamahan (Nai Abadi
Road / Girjaa chowk) // kamahan ( Natha chowk
/ Shan wali haveli) // kamahan (Muhallah Meowati / Khajoor Wali
Masjid) // kamahan (Muhallah
Meowati / Khajoor Wali Masjid) // Kamahan // Kamahan ( Diby Purya
Kothi)",  / Kamahan,2590206
Leel // Kot Wadhawa Sing, ,2590207
Aasil Suleman // Khand, ,2590301
"Badoki, Haveli
Mochiyan // Badoki, centeral park // Badoki // Ladhykay // Ladhykay, Bhullar ,
Mustafabad, lalyani // Badhoki , haveli
Mochiyan // Badhoki, centeral Park // Ladhaykay Bhullar", ,2590302
khano harni // Jheedo // Rakh Jheedo, ,2590303
kacha ( Railway station) // kacha ( Tibba kacha) // Kacha // Kacha ( Dumdma) // Kacha ( Islam Pura) // kacha (Dumdma), ,2590304
"Nangar // Nangar ( Shareef, kahna
Kacha) // Nangar ( Shareef,) // Syedher", ,2590305
"Pandoki, Mashmola
Sultan Pura // Pandoki, Haveli
Khokhran // Pandoki, Muhallah
Araiyan // Pandoki, Muhallah Baba
Bhullay Shah // Pandoki, Muhallah
Khokhran // Pandoki, Muhallah Mustafabad / Baba
Bhullay Shah // Gulvera", ,2590306
Haloki // Haloki (Rasool Pura) // Haloki (Wara Sandhu), ,2590307
Sadhoki ( Sector) // Sadhoki ( Valencia), ,2590308
"Theh Panjo, Makhan
Colony // Theh Panjo, Farooq Abad / Nawab
Mashkoor town // Theh Panjo, Muslim
Town / Haveli Malik Sajjad // Theh Panjo, Muslim Town / Haveli Malik
Sajjad // Theh Panjo, Bhatto
colony // Theh Panjo, Farooq
abad // Theh Panjo, Ghulam
Hussain colony // Theh Panjo, Dhoopsadi
/ Farooq Abad // Theh Panjo , Dhoopsadi/ kacha road // Theh panjo, Madina
colony // Theh Panjo, Muhallah Main kacha road  /
Dhoop Sadi // Theh Panjo, Dhoopsadi // Theh Panjo, Farooq
Abad Dhoop Sadi // Theh Panjo, Nawab
Mashkoor town // Theh Panjo, Haveli Turkhan, Cheeto Wali // Theh Panjo, Haveli
Cheeto wali // Theh Panjo, Phase Feroz
Park // Theh Panjo, Roshan
Town // Theh Panjo // Theh Panjo, Mehran
Wali Ghali // Theh Panjo, Mehran Wali Ghali / Balochan
Wali Gali // Theh Panjo, Jheedo // Theh Panjo,Farooq Abad / Nawab
Mashkoor town // Theh Pajo, Farooq Abad // Theh Panjo, Dhoop Sadi
/ Farooq Abad", ,2590309
"Theh Waraich // Theh Waraich, Toor", ,2590310
"Punjab Government
Housing Scheme // Mateen Avenue, Almakar colony, Ahmed
Nagar // Awaisia Society // Block B-1, C-1,
P.G.E.C.H.S // Nespack Society // Staff Colony PCSIR // Punjab Society
(PGECHS) // Punjab Government
Housing Scheme-2 // Satoo Katla Khas // Enginer town // Wapda town // N.F.C Housing Society // U.E.T Housing Society // Punjab Housing Society // Wapda town D-lll // Wapda town D-ll // Wapda Town Block E-1 // Wapda Town Block E-ll // Wapda town F-1 // Wapda Town H-3 // Wapda Town J-3 // Wapda Town J-2 // Wapda Town J-1 // Wapda Town K-1 // Wapda Town K-2 // Wapda Town K-3 // Valencia Town",  / Wapda Town H-3 / Wapda Town J-3,2590401
Khambah // Wapda Town G-4 // Wapda Town G-3 // Wapda Town G-5 // Wapda Town H-3 // Wapda Town J-4 // Wapda Town Lahore // Nashiman Iqbal Sheme // Ghulam Ghoos Abad // Wapda Town J-3 // Eadilian Joher Town // PCSIR 2,  / Wapda Town H-3 / Wapda Town J-3,2590402
"Bagrian Dharam Chand // Bagrian Dharam Chand (
Tayab Town) // Bagrian Dharam Chand ( Hakim Town ) // Bagrian Dharam Chand (
Khaki Shah  Road / Jewa Park) // Bagrian Dharam Chand ( Sherazi Town ) // Bagrian Dharam Chand ( Hakim Town / Jewa Park
)", ,2590403
"Chand Ray ( Karim park
) // Chand Ray ( Muhallah
Jattan) // Chand Ray ( Dera
Araiyan ) // Chand Ray ( Muhallah Joiyan wala / Bhattian) // Chand Ray ( Joiya wala ) // Chand Ray ( Kela Colony
)", ,2590404
"Tahayat // Rakh Chand Ray, B. D. Block/ Gowala Colony // Rakh Chand Ray, B. Block/ Gowala Colony // Rakh Chand Ray, C Block/ Gowala Colony // Rakh Chand Ray, A,C Block/ Gowala Colony", ,2590405
"Canal Park, Ahata Bashi
Ram // Canal Park Gulberg, 2 // Canal Park // Canal Park, Gulberg
colony, D. Block // Main Gulberg", ,2590501
"3-4 Gulberg F.F.C // Block B-2 Gulberg // Zahoor Ilahi Road
Gulberg 3 // Gulberg 3, Block No4", ,2590502
"Main Bluavard Gulberg-
2, P-Block // Sadiq Trade Center, H-
Block // Ghos Azam Colony
Gulberg-2 // Shora Kothi Rehman
Park // Jinnah Park Gulberg-2 // Busti Allah Hoo Gulberg-
2","  / Ghos Azam Colony
Gulberg-2",2590601
"Hafeez center Halli road // Ghos Azam Colony
Gulberg-2 // T-P Block Gulberg-2 // M.M Alam Road
Gulberg-3 // Block C-E Gulberg-3","  / Ghos Azam Colony
Gulberg-2",2590701
"F.C college Ferozpur
road // F.C college Kachi Abadi // Kachi Abadi F. C Collge
Gulberg 3 // Sait merry Colony
Gulberg 3 // Gulberg Block G,H // Thay Pind Firdos Market // Model Colony gulberg", ,2590801
Model Town Block B // Model Town Block A // Model Town Block H, ,2590901
"Model Town Block G // Model Town Block F // Model Town Block F, K
Block // Model Town Block F, E
Block", ,2590902
"E Block Model town // E Block Model town, K
Block // E Block Model Ton // D Block safdar Market
Model Town // D block Model Town // D Blcok Model town", ,2590903
C Block Model Town // J Block Model Tonw, ,2590904
"Nawaz Shareef Colony // Nawaz Shareef Colony, Ferozpur Road // Gulab Devi Hospital , Civil Eveation Quarters", ,2591001
"P Block, gulberg 3 // M block , Gublerg 3 // M Block , Bulberg 3 ,
Bhabra // Bhabra Gulberg 3 // M Block , Gulberg
Ferozpur road","  / P Block, gulberg 3",2591002
"L Block , Kalma Chowk // Anayat colony , L block // Pura Air Port , PIA
colony // Cristian colony , Khan colony gulberg-3 // Rakh Chandray","  / Cristian colony , Khan colony gulberg-3",2591003
"Mustafa abad , gulberg
3 // Hinray Kay gulber3", ,2591004
"Gopal Nager // Main Bazar Gopal Nagar
gulberg 3 // P Block, gulberg 3","  / P Block, gulberg 3",2591005
"G,H Block Model town // R, Block Model town
Bahar colony // Bahar Colony No.2 kot
Lakhpat // R Block Model Town // R Block Model Town
Extention // R Blcok Model town
Extention // R Blcok Model town
Bahar Colony", ,2591101
"Q Blcok Model town
Extention // A.B.C.Q Block flates , Model town extention // Q Blcok Model town
Flates // Z.Blcok flates Model
town // Q Block Umer Colony
Kousar colony // Kousar colony, Model
town", ,2591102
"Umer Street , usman
street, Link Road // Muhallah usman street , nawab street Bhatti colony link Road // Bhatti colony link road
Moon street // Model Colony Model
town Near Q block // P-3, link road BGECHS,
Model town // Phase B-3, GECHS", ,2591103
"Edin Villas, Q Block
Model town // Q Block Model town // Q Block Model town
extention // Khan colony Q Block", ,2591104
"Pindi Rajpotan // Liaqat abad Muhammadi Muhallah // Liaqat abad // Kot Lakhpat, Pindi
Rajpotan // Liaqat Abad, Muhammadi Muhallah // Liaqat Abad",  / Pindi Rajpotan,2591201
"Abdul Sattar park , pindi
Rajpotan // Quaid Azam park, Pindi
Rajputan // Pindi Rajpotan // Quaid Azam park, Kot
Lakhpat // Quaid Azam park // Akbar Shaheed Road
Darbar Kot lakhpat // Quaid Azam park Kot
lakhpat",  / Pindi Rajpotan,2591202
"S, Block Extention ,
Model town // Dil Kusha Garden, Kot
Lakhpat // Liaqat Abad, Purani
Abadi", ,2591203
"Bahar Colony No.1 kot
Lakhpat // Liaqat Abad, Kot
Lakhpat // Purani Abadi, Kot
Lakhpat // Najaf Bazar, Kot Lakhpat // Liaqat Abad Kot Lakhpat","  / Bahar Colony No.1 kot
Lakhpat",2591204
"Nadeem Park, Kot
Lakhpat // Muhallah Akbar Shaheed Road, Kot
Lakhpat // Karmawali colony, Kot
Lakhpat // Nawab colony, Madina
street // Alyas park, Akbar
Shaheed colony // Qila wali Abadi , Kot
Lakhpat // Ayoub road Kot Lakhpat
,Qila wali Abadi", ,2591301
"Nai Abadi Purani Abadi
Kot Lakhpat // Salamat Pura Kot
Lakhpat // Nai Abadi, Rehmat Pura // Ansari Muhallah, Purani
Abadi // Shabnam colony, Nusrat
Road", ,2591302
"Modern Colony, Kot
Lakhpat // France Colony , Bahar colony main Road", ,2591303
"Bahar Colony No.1 kot
Lakhpat // Bahar Colony  kot
Lakhpat // Baitul Hum, Bahar
colony","  / Bahar Colony No.1 kot
Lakhpat",2591304
"Bostan Colony Qainchi
Amarsadhu","  / Bostan Colony Qainchi
Amarsadhu",2591401
"Bostan Colony // Bostan Colony Qainchi
Amarsadhu // Shabnam colony, // Main Bazar Data colony // Muhallah Faisal abad, Qainchi Amarsadhu","  / Bostan Colony Qainchi
Amarsadhu",2591402
"Shairan Wali colony,
Qainchi Amarsadhu // Koh Noor Housing
Scheme // Kot Rehmat Pura Quainchi Amar Sadhu // Awami Colony Aqab
Hospital // Awami Colony Aqab General  Hospital // Green Colony, Boostan
Colony // Koh Noor Housing Scheme, Boostan
Colony", ,2591403
"Jhangeer Park // Jhangeer Park , Kot
lakhpat // Jhangeer Park, General
Hospital // Tariq Abad", ,2591404
"Tariq Abad, Ismaeel
nagar // Muhallah Tariq Abad, ismaeel Nagar Chungi
Amar Sadhu // Tariq Abad , Makhdoom
Abad // Makhdoom abad, Tariq Abad chungi Amar
Sadhu // Makhdoom abad, Street No.1 chungi Amar
Sadhu // Makhdoom abad, Ali Street chungi Amar
Sadhu // Muhallah Tariq Abad,
ismaeel Nagar Chungi Amar Sadhu", ,2591501
"Rasool Park // Rasool Park, Gali No.5 chungi Amarsadhu // Tariq Abad, Chungi
Amar Sadhu // Rasool park , street No.
9-10-11 // Rasool park , Near
Ayoub Road // Rasool park, Kashmir
street Madina town",  / Rasool Park,2591502
"Awami Colony General
Hospital // Awami Colony // Zubair Colony // Awami Colony Jhangeer
park // Zubair Colony Aqab
Genral Hospital // Madinal Town General
Hospital // Zubair Colony , Madina
town", ,2591503
"Ithaad Colony , Kot
lakhpat // Shairwani Colony , Kot
lakhpat // Shairwani Colony ,
Qainchi main bazar // Itaaq colony, Kot
lakhpat // Shairwani colony,
Awami colony // Awami colony, Madina
town // Awami Colony, Aqab
General Hospital", ,2591504
"B.D ithaad Colony Kot
lakhpat // Ithaad Colony // Rasool park , Chungi
amar sadhu",  / Ithaad Colony,2591505
"Muhallah Rasool park,
street No.1 // Madina town , Rasool
Park // Muhallah Rasool park,
street No.2 // Rasool Park new jail
road, street No.3-4-5 // Rasool Park Maher
Chowk", ,2591506
"Ghulam Muhammad
Bhatti colony // Fazal Haq Colony // Wapda Colony , Kot
lakhpat", ,2591601
"Baba Farid colony, jail
road // Quaid Millat Colony No.1 Chungi Amar
Sadhu // Quaid Millat Colony
No.1 Jail road // Quaid Millat Colony
No.1-27 // Quaid Millat Colony
No.1 Chungi Amar Sadhu", ,2591602
"Baba Farid colony, Babar chowk chungi
Amar Sadhu // Bhatti Colony, Babar Chowk chungi amar
sadhu // Quaid e Millat Colony No.2- Almustafa Colony // Quaid e Millat Colony
No.1 // Quaid Millat Colony No.2 Chungi Amar
Sadhu // Baba Farid colony,
Babar chowk chungi Amar Sadhu // Bhatti Colony, Babar
Chowk chungi amar sadhu // Baba Farid colony, Babar Chowk chungi
amar sadhu // Quaid e Millat colony No.2 chungi Amarsadhu", ,2591603
"Baba Farid colony, Kot
Lakhpat // Baba Bhullay shah park, Baba farid Colony // Baba Farid Colony No.2
Jail Kot Lakhpat // Bilal Masjid , Baba Farid Colony , Kot lakhpat // Baba Farid Colony, Kot
Lakhpat", ,2591604
"Sittara Colony No.2 // Sittara Colony No.2
Kamahan road // Sittara Colony No.2
Chuni Amarsadhu","  / Sittara Colony No.2 / Sittara Colony No.2
Chuni Amarsadhu / Sittara Colony No.2
Kamahan road",2591605
"Sittara Colony No.2
Chuni Amarsadhu // Sittara Colony No.2
Javid Colony // Sittara Colony No.2 // Muhallah gulshan Yasin colony chungi
Amarsadhu // Gulshan Yasin colony ,
Malik chowk // Sittara Colony No.2
Kamahan road // Sittara Colony No.2
Niazi chowk","  / Sittara Colony No.2 / Sittara Colony No.2
Chuni Amarsadhu / Sittara Colony No.2
Kamahan road",2591606
"Ithaad park, Sittara
Colony // Javid Colony, Chungi
Amarsadhu // Ithaad Park, A block
Chungi Amarsadhu // Ithaad Park, Bank Stop // Ithaad Park, Gulshan
yasin colony // Khadim colony, Meo
Colony", ,2591607
"Sittara Colony No.2
Chuni Amarsadhu // Sittara Colony No.2 Nau
Lakha chowk // Sittara Colony No.2 Kamahan road // Sittara Colony No.2 // Fazal Khan Colony,
Jinnah Street","  / Sittara Colony No.2 / Sittara Colony No.2
Chuni Amarsadhu",2591608
"Javid Colony, Sittara
Colony NO.2 // Pak Town, Sittara
Colony No.2 // Kamahan ( Buhadar
Abad) // Fazal Khan Colony,
Sittara Colony No.2 // Pak Colony, Chungi
Amarsadhu // Sittara Colony No.2 // Pak Colony, Sittara
Colony No.2 // Sittara Colony No.2
Kamboh Block","  / Kamahan ( Buhadar
Abad) / Sittara Colony No.2",2591609
"Pak Town, Kamahan
Road // Kamahan ( Ghosia
Colony/ Haji Abad) // Pak Town, Chungi Amar
Sadhu // Kamahan // Pak Colony, Itfaaq
Colony // Imraaan Colony // Muhammad Ali Colony",  / Kamahan,2591610
"Meo colony, Chungi
Amarsadhu // Gulshan Colony // Meo Colony, Bank Stop // Gulshan Yasin Colony, Almairaj Chowk // Khadim Colony.",  / Gulshan Colony,2591611
"Block-01 Sector B-2
Town Ship // Block-03 Sector B-2
Town Ship","  / Block-01 Sector B-2
Town Ship / Block-03 Sector B-2
Town Ship",2591701
"Block-01 Sector B-2
Town Ship // Block-02 Sector B-2
Town Ship","  / Block-01 Sector B-2
Town Ship / Block-02 Sector B-2
Town Ship",2591702
"Block-02 Sector C-2
Town Ship // Block-01 Sector C-1
Town Ship // Block-02 Sector B-1
Town Ship // Block-02 Sector B-2
Town Ship // Block-01 Sector B-1
Town Ship","  / Block-02 Sector B-1
Town Ship / Block-02 Sector B-2
Town Ship",2591703
"Block-11 Sector B-1
Town Ship // Block-12 Sector B-1
Town Ship // Block-01 Sector B-2
Town Ship // Block-03 Sector B-1
Town Ship // Block-02 Sector B-1
Town Ship // Block-09 Sector B-1
Town Ship","  / Block-01 Sector B-2
Town Ship / Block-02 Sector B-1
Town Ship",2591704
"Block-06 Sector B-1
Town Ship // Block-07 Sector B-1
Town Ship // Block-06 Sector B-
1Town Ship // Block-05 Sector B-
1Town Ship", ,2591705
"Block-4 Sector B- 1Town
Ship // Block-7 Sector B- 1Town
Ship // Block-04 Sector B-
1Town Ship // Block-07 Sector B-
1Town Ship", ,2591706
"Block-13 Sector B-1
Town Ship // Block-15 Sector B-1
Town Ship // Block-14 Sector B-1
Town Ship // Block-16 Sector B-1
Town Ship // Block-14 Sector B-2
Town Ship", ,2591707
"Block-2 Sector B-2 Town
Ship // Block-01 Sector B-2
Town Ship // Block-03 Sector B-2
Town Ship // Block-01 Sector A-2
Town Ship","  / Block-01 Sector B-2
Town Ship / Block-03 Sector B-2
Town Ship",2591801
"Block-02 Sector A-2
Town Ship // Block-04 Sector A-2
Town Ship", ,2591802
Sector A-1 Town Ship, ,2591803
"Block No.6 Sector A-2
township", ,2591804
"Block No.5 Sector C-2
Green town", ,2591901
"Block No.6 Sector C-2
Green town // Block No. 4 Sector C-2
Green Town // Block No.3 Sector C-2
Green town // Block No. 4 Second C-2
Green Town","  / Block No.3 Sector C-2
Green town",2591902
"Block No.3 Sector C-1
Green town // Block No.3 Sector C-1
Town Ship // Block No.3 Sector C-2
Green town","  / Block No.3 Sector C-2
Green town",2591903
"Sector D-2 Green town // Sector-2 D-2 Green
town", ,2592001
"Sector-3 D-2 Green
town // Block No.2, D-3 Green
town // D-2/3 Green Town", ,2592002
"Sector-5 D-2 Green
Town // Sector-4 D-2 Green
Town // Block No.1 Green town", ,2592003
"Keer Kalan town ship
Sector 5, D-1 // Keer Kalan town ship  D-
1 // Keer Kalan Green town // Green Town // Keer Kalan, D-1, 5 // Keer kalan Sector town
Ship D-1", ,2592004
"Green Town Sector-1 D-
1 town Ship // Umer Chowk town Ship
Sector-1 D-1 // Umer Chowk town Ship
Sector-1 D-2 // Sector-1 D, Sector 1 D-2
Township // Sector-1 D-2 Green
town", ,2592005
"Township-4 D-1 // Green town Blokc No.3,
Sector D-1 // Green Town Block No.3,
Sector D // Green town, 1 D, Sector // Green town Block No.3,
Sector D-1", ,2592006
Meryum Colony // Green town, ,2592101
"Meryum Colony , Sector
D-2 // Meryum Colony , Sector
D-1-2 // Meryum colony, Green
town // Meryum Colony , Sector D-1 green town-2 // Sector,1 D-2 Meryum
Colony // D-2 Green Town-1 // Green town Sector-1 D-
2 // Meryum Colony, Sector
D-2 // Sector D-1 Meryum
colony 2 // Green Town Sector 1 D-
2", ,2592102
"Sector 5, D,2 Green
Town", ,2592103
"Aurangzeb Block, Tariq Block New Garden Town // Aurangzeb Block, New
Garden Town // Ataturk Block, New
Garden Town // Tariq Block, New
Garden Town", ,2592201
"Abu Bakr Block, New
Garden Town // Ahmed Block, New
Garden Town // Ahmed Block, Garden
Town", ,2592202
"Usman Block, New
Garden Town // Garden Block, Ali Block // Garden Block, Garden
Town // Ali Block New Garden
Town // Jevan Hana Garden
Town", ,2592203
"Aebak block new garden
town // Sher Shah Block New
Garden Town // Babar Block, New
Garden Town // Tipo block, Garden
Town", ,2592204
"Search Colony New
Campus // Research Staff Colony
New Campus // Block A Faisal Town // Block B Faisal Town",  / Block B Faisal Town,2592301
Block B Faisal Town // Kothy Pind Faisal Town // Block C Faisal Town,  / Block B Faisal Town / Block C Faisal Town,2592302
"Bloc k Model Town // Block L Model Town
Extension // Block M model town", ,2592303
"LDA Flat Model Town // N block model town // ANC Model Town // Block N LDA Flat Model
Town", ,2592304
"Ghazali Khushnama Flate Block GOR-2
Model Town // Block N model town // Block P Model Town", ,2592305
"Block D Faisal Town // Mohammad pur Faisal
Town // Link Road Model Town // Mohammadpur Faisal
Town", ,2592306
Block C Faisal Town,  / Block C Faisal Town,2592307
Block E Johar Town // Block B Johar town // Block A Johar Town // Block B Johar Town, ,2592401
Johar Town B-1 // Johar Town B-2 // Johar Town B-3, ,2592402
Ajodhia Pur Joher town // Ajodhia Pur Bair Pind // Ajodhia Pur // Block B-3 Johar Town // Block D Johor Town, ,2592403
"Block A - 1 Johar Town // Block A - 2 Johar Town // Block A-3 Johar Town // Nasir Colony , Ghosia
Colony // Mateen Avenue/ Allah
Baksh colony", ,2592404
