charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
18609,8565,4539,4026, ,78.74,,1336,957,,1005,759,,487,485,,7193,1372,6699,5391,493,2752,4810,83.3,87.27,1906,1864
18610,23038,12521,10512,5,81,80,2963,2187,2,3302,2564,2,1530,1294,,21850,1188,18335,14784,1489,6766,13371,83.65,85.81,6922,5991
18611,8619,4752,3867, ,83.98,,1131,635,,1134,922,,1036,986,,8342,277,7185,5950,827,3414,5561,84.89,85.58,3252,3121
18612,39580,21469,18096,15,72.01,46.67,5460,3993,3,5101,3796,3,2161,1540,,33271,6309,30919,24830,2185,7765,21584,76.66,80.51,9821,8145
18701,49438,25528,23905,5,83.15,40,6714,5546,1,6538,5910,,2834,3086,1,44857,4581,39037,31214,3331,15195,27663,84.67,86.1,17719,14851
18702,39303,22571,16725,7,80.25,71.43,5764,4087,3,7263,3513,,2258,2028,,34343,4960,31850,26244,2399,13637,24121,84.6,87.64,10742,8896
18703,38281,19877,18399,5,91.67,100,3421,2943,,5132,4571,2,6076,5629,1,36834,1447,31937,26584,3460,11508,25386,92.8,93.84,11922,10859
18704,37724,20851,16867,6,83.17,33.33,4884,3620,,6157,3534,1,3180,2960,,36333,1391,30000,24152,2606,12209,22366,87.18,90.32,10002,8825
18705,72643,39399,33236,8,81.73,100,8185,7061,2,11924,7411,4,6095,5127,,70587,2056,57026,45654,4073,20975,42029,85.5,88.59,14040,11978
18706,65822,34456,31360,6,62.68,67,7592,5953,2,4704,3998,,2580,2406,1,54725,11097,48777,37458,3389,20833,30819,65.55,68.14,13836,9733
18707,70406,37012,33382,12,59.81,8.33,8831,6710,1,5100,4095,,1600,1447,,65176,5230,51728,38690,2879,20019,31168,63.67,67.13,13767,9611
18801,58812,30984,27816,12,78.04,58.33,7502,6393,3,8178,5831,2,2679,2655,1,40221,18591,45958,36437,3463,15981,31730,81.61,84.81,16531,13000
18802,27475,15353,12121,1,79.41,100,3457,2442,,4464,2406,1,2147,2093,,23512,3963,22457,18435,2010,10322,16731,82.92,85.56,6287,5516
18803,49837,25625,24199,13,84.44,69.23,5973,4874,4,6325,6016,2,4357,3943,3,47245,2592,39330,31752,3580,11472,28486,86.98,89.37,13619,12003
18804,48249,24814,23432,3,82.2,,5436,4609,,6290,5326,,4438,4269,,40371,7878,38216,31190,3791,14534,28059,85.17,88,14779,12653
18805,51902,26324,25568,10,81.19,60,5349,4626,2,5572,5254,4,5202,4925,,50360,1542,40918,32978,4557,14837,29652,83.32,85.4,16534,14449
18806,77371,39963,37398,10,80.49,50,9147,7406,3,10085,8704,1,6143,5916,1,73154,4217,60918,49062,5687,20146,43992,83.5,86.31,20351,17551
18807,47023,24947,22059,17,69.42,35.29,5098,3369,2,3654,3403,2,4636,4209,,45214,1809,37216,29736,3921,16112,26211,72.32,74.87,10464,9256
18808,77889,40072,37799,18,68.89,33.33,10600,8313,4,7563,6724,1,2466,2448,,59203,18686,58918,45983,3925,22654,38253,72.86,76.61,20054,15137
18809,65743,34093,31629,21,72.82,57.14,9412,7604,5,6578,5813,3,1538,1570,1,63351,2392,49428,38901,3460,17139,31966,76.44,79.78,17075,12498
18810,54262,27915,26337,10,76.87,20,7644,6382,,5969,5393,1,1245,1259,,51696,2566,41147,32229,3147,16213,27308,79.65,82.29,16009,12214
18811,148978,77351,71606,21,81.82,71.43,14898,11926,7,15539,14760,5,17523,15484,3,144377,4601,118008,95457,12017,37944,86038,84.26,86.52,30902,26330
25901,150585,80121,70430,34,59.83,61.76,20705,14845,7,10875,7586,5,2747,2200,,134680,15905,109212,82192,6466,30309,64869,65.45,70.25,29432,19213
25902,326925,173704,153174,47,67.11,44.68,45474,33960,8,32332,24440,10,8889,7842,1,252081,74844,246045,191132,15585,93132,157969,71.56,75.42,63069,45292
25903,180076,95455,84600,21,63.16,52.38,23008,16546,1,14251,10360,5,6522,5533,3,170745,9331,132280,101425,9147,39530,81846,68.15,72.45,32031,20697
25904,287006,148020,138943,43,73.65,58.14,28029,22988,4,25442,23385,12,25775,23013,6,275866,11140,218238,172274,19113,77358,146792,76.38,78.94,44341,38090
25905,23054,13243,9807,4,85.32,50,3574,1927,1,3118,2291,,2267,1857,,21504,1550,19125,15983,1876,8630,14874,87.27,88.67,5769,4837
25906,16852,9586,7262,4,83.09,75,2613,1519,3,2422,1804,,1371,1110,,16287,565,13825,11439,1057,6817,10526,85.39,87.05,4732,4261
25907,3027,1676,1351, ,82.93,,363,184,,333,279,,457,421,,2812,215,2529,2121,365,1126,1998,83.91,84.68,731,716
25908,26275,14561,11711,3,74.26,33.33,3861,2649,,3321,2229,1,1898,1275,,18297,7978,21113,17216,1458,5914,15253,79.45,83.46,6635,5559
25909,31390,15942,15446,2,87.8,100,2877,2384,,3380,3710,1,4762,4389,,30955,435,25877,21012,3544,10169,19716,89.23,90.63,12338,11737
25910,47049,24291,22753,5,70.8,60,6191,4722,,4745,4276,,1861,1954,1,36417,10632,36173,28381,2390,11933,24327,74.68,78.3,13654,11169
