,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
32,74.34239705,31.52594273,2590501,18234,10410,7821,3.0,85.56,66.67,2799,1611,1.0,2579,1920,,1545,1207.0,,16868,1366.0,14952,12382,1340,6246,11394,87.59,89.06,4671,3845,3049,2997,28.0,24.0,2705,3038,2936.0,2839,3022,3042,5.76
33,74.3380911,31.52297502,2590502,4820,2833,1986,1.0,84.42,,775,316,,539,371,,722,650.0,,4636,184.0,4173,3601,536,2384,3480,86.13,87.31,1098,992,828,807,2.0,19.0,677,828,788.0,723,820,824,5.55
34,74.35906295,31.52280637,2590601,16852,9586,7262,4.0,83.09,75.0,2613,1519,3.0,2422,1804,,1371,1110.0,,16287,565.0,13825,11439,1057,6817,10526,85.39,87.05,4732,4261,2560,2518,16.0,26.0,2351,2537,2460.0,2329,2523,2546,5.78
35,74.34250124,31.51627493,2590701,3027,1676,1351,,82.93,,363,184,,333,279,,457,421.0,,2812,215.0,2529,2121,365,1126,1998,83.91,84.68,731,716,574,560,1.0,13.0,561,573,513.0,538,561,567,4.87
36,74.332061,31.522345,2590801,26275,14561,11711,3.0,74.26,33.33,3861,2649,,3321,2229,1.0,1898,1275.0,,18297,7978.0,21113,17216,1458,5914,15253,79.45,83.46,6635,5559,3952,3874,16.0,62.0,3821,3933,3823.0,3828,3916,3937,6.17
37,74.33238398,31.48995324,2590901,9089,4485,4603,1.0,90.92,100.0,754,675,,978,1300,1.0,1390,1317.0,,8918,171.0,7587,6191,1096,3219,5817,92.08,93.29,3879,3584,1676,1607,31.0,38.0,1580,1671,1544.0,1645,1667,1651,5.13
38,74.32387962,31.47528001,2590902,6346,3209,3137,,87.36,,593,515,,717,677,,962,958.0,,6252,94.0,5242,4266,724,1900,4046,89.16,90.95,2774,2710,1035,1004,11.0,20.0,1009,1030,1007.0,1021,1018,1026,6.01
39,74.31610439,31.48731388,2590903,9531,4869,4661,1.0,84.39,100.0,857,739,,973,1023,,1416,1261.0,,9412,119.0,7787,6309,1002,3055,5947,85.67,86.88,3562,3408,1738,1720,10.0,8.0,1729,1734,1653.0,1578,1730,1733,5.43
40,74.32685819,31.49263807,2590904,6424,3379,3045,,88.61,,673,455,,712,710,,994,853.0,,6373,51.0,5261,4246,722,1995,3906,90.48,92.15,2123,2035,1161,1131,14.0,16.0,1004,1159,1078.0,1142,1147,1156,5.23
41,74.34598689,31.47486976,2591001,7239,3612,3625,2.0,71.39,50.0,893,727,,626,707,,270,479.0,,3247,3992.0,5757,4597,304,2524,4035,71.81,72.26,2338,1860,1135,1020,96.0,19.0,1103,1109,1071.0,940,1126,1124,5.83
42,74.33949762,31.49014566,2591002,9823,5172,4649,2.0,83.98,50.0,1251,905,,1331,1192,,814,794.0,,9661,162.0,7975,6398,671,2947,5801,86.32,88.38,2635,2300,1572,1435,27.0,110.0,1482,1565,1486.0,1515,1489,1571,5.74
43,74.332816,31.503219,2591003,8768,4570,4197,1.0,49.76,100.0,794,492,,452,309,,206,144.0,1.0,6707,2061.0,6170,4553,377,2536,3558,59.35,67.86,2320,1960,975,865,39.0,71.0,959,971,926.0,959,966,974,8.73
44,74.3436435,31.4906844,2591004,8857,4551,4306,,65.23,,1250,1020,,883,753,,167,181.0,,4516,4341.0,6831,5268,397,1193,4475,69.32,73.24,2303,1749,1407,1316,7.0,84.0,1306,1401,1367.0,849,1326,1407,6.24
45,74.344594,31.487462,2591005,12362,6386,5976,,77.19,,2003,1578,,1453,1315,,404,356.0,,12286,76.0,9440,7565,641,2733,6458,80.51,83.55,4058,3300,2056,1995,16.0,45.0,1972,2050,2009.0,1732,2028,2054,5.89
46,74.33466662,31.47344453,2591101,11266,5695,5571,,91.39,,999,963,,1681,1772,,1321,1194.0,,8269,2997.0,9224,7673,1118,3561,7159,92.32,93.26,4079,3915,1909,1879,7.0,23.0,1875,1908,1865.0,1873,1890,1617,5.8
