,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
41,74.298191,31.56415,18542,18020,9195,8823,2,94.17,100.0,2092,1784,2.0,2907,2893,,1717,1793,,17929,91,14749,12035,1457,4475,10942,94.22,94.27,6589,6125,3107,3038,46,23,2739,3097,2980,3006,3087,3098,5.73
42,74.29589653,31.57325046,18543,28219,14439,13778,2,91.35,100.0,3362,2982,1.0,4416,4370,,2445,2308,,28081,138,22925,18713,2190,8474,16836,91.87,92.36,13109,11455,4602,4330,84,188,4330,4594,4430,4411,4421,4598,6.05
43,74.2915924,31.5617007,18544,42222,21530,20686,6,86.29,,5764,4787,,5763,5853,,2303,2386,,41765,457,33328,26651,2874,9916,23242,87.07,87.86,14787,12429,6675,6543,38,94,5236,6655,6529,6485,6598,6651,6.29
44,74.28754826,31.57019883,18545,48080,25007,23057,16,81.56,75.0,5496,4494,2.0,6493,6276,4.0,2770,2852,5.0,47868,212,37555,29589,3380,13417,26496,81.89,82.19,15365,13142,7087,6704,119,264,6607,6899,6330,6605,6742,7035,6.44
45,74.28323769,31.55678163,18546,50938,26194,24730,14,78.7,28.57,6442,5163,3.0,6111,6374,1.0,2444,2473,,47818,3120,39739,31429,3214,15165,27047,79.6,80.48,19427,15547,8133,7888,174,71,7924,8101,7854,7512,8076,8095,6.21
46,74.267699,31.562872,18547,74882,39909,34943,30,47.12,30.0,7713,5753,5.0,3470,2974,1.0,545,529,,67283,7599,54532,41106,3065,18202,30630,49.73,51.99,15008,10088,10999,9786,830,383,10622,10849,6369,7601,10754,10836,6.66
47,74.28161479,31.56378819,18548,74053,37578,36470,5,85.47,80.0,9693,8439,,9482,9404,,3773,3973,2.0,71674,2379,57701,46012,5000,15339,39935,86.78,88.05,25808,21367,11347,11120,106,121,9154,11302,10855,10537,11246,11327,6.46
48,74.28954164,31.55225935,18549,40210,20568,19631,11,92.69,54.55,4459,3811,1.0,6327,6206,5.0,3778,3714,,39434,776,32334,26117,3293,8999,23934,93.63,94.55,15391,13591,6418,6337,27,54,6049,6398,5995,6296,6385,6394,6.13
49,74.27228209,31.54814857,18550,43866,22336,21529,1,90.75,100.0,4843,4127,,6465,6333,,4149,4093,1.0,43144,722,34700,27743,3538,11759,25180,92.24,93.7,16805,14756,6954,6814,26,114,4891,6925,6662,6650,6844,6923,6.27
50,74.28868546,31.5474241,18551,37764,19544,18209,11,86.02,36.36,5323,4246,,5091,5159,3.0,2082,2182,1.0,36722,1042,29619,23577,2486,11039,20437,86.66,87.3,13822,11568,6667,6563,67,37,6514,6644,6531,6542,6632,6652,5.6
