,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
40,74.389129,31.474239,1880705,12298,6416,5873,9.0,43.73,33.33,1424,1030,,572,543,1.0,92,83.0,,12224,74.0,9115,6712,441,3379,5140,47.05,50.07,1616,1116,1983,1935,30.0,18.0,1797,1952,1911.0,1464,1961,1979,6.18
41,74.3880918,31.4768189,1880706,10366,5722,4638,6.0,50.19,16.67,1551,877,1.0,706,476,,108,82.0,,9055,1311.0,7752,5965,379,4071,4777,57.77,63.75,2675,1808,1625,1559,48.0,18.0,330,1610,1508.0,560,1614,1625,6.21
42,74.364016,31.482236,1880801,8055,4136,3916,3.0,86.06,33.33,1002,880,1.0,1195,1028,,517,505.0,,7824,231.0,6283,5107,515,2471,4536,89.5,92.83,2724,2231,1362,1349,9.0,4.0,1001,1355,1268.0,1235,1354,1361,5.91
43,74.366824,31.478684,1880802,7539,3865,3671,3.0,64.81,,1101,850,,718,629,,193,175.0,,7033,506.0,5654,4355,339,1438,3500,69.72,74.43,2134,1486,1234,1210,4.0,20.0,969,1233,1206.0,1046,1221,1232,6.08
44,74.361205,31.478454,1880803,10484,5328,5148,8.0,84.2,50.0,1403,1143,3.0,1357,1235,1.0,618,620.0,,9967,517.0,8112,6462,654,3286,5793,87.13,90.01,2599,2264,1749,1719,15.0,15.0,1534,1743,1684.0,1679,1735,1737,5.96
45,74.365004,31.473706,1880804,20418,10582,9835,1.0,60.82,100.0,2806,2058,,1601,1501,,287,297.0,,12893,7525.0,15283,11780,933,6251,9405,64.65,68.19,5349,3845,3271,3197,51.0,23.0,2589,3268,3154.0,2592,3252,3269,6.22
46,74.357836,31.474949,1880805,4894,2532,2361,1.0,82.82,,678,556,,668,559,,353,302.0,,4703,191.0,3809,3042,296,1280,2680,86.79,90.46,1403,1099,854,841,11.0,2.0,558,853,835.0,830,852,854,5.66
47,74.360393,31.472871,1880806,15329,7889,7440,,71.72,,2232,1770,,1444,1284,,429,485.0,,11699,3630.0,11475,8939,724,4114,7495,76.22,80.48,3448,2621,2500,2467,21.0,12.0,2155,2488,2449.0,2302,2485,2499,6.12
48,74.366558,31.474093,1880807,11170,5740,5428,2.0,48.13,,1378,1056,,580,488,,69,64.0,,5084,6086.0,8302,6298,464,3814,4844,52.52,56.71,2397,1591,1777,1704,50.0,23.0,1679,1768,1151.0,1579,1756,1776,6.25
49,74.351957,31.463611,1880901,10864,5594,5266,4.0,79.89,50.0,1403,1147,1.0,1436,1309,1.0,400,388.0,,10805,59.0,8198,6517,611,2672,5612,83.4,86.71,2986,2294,1690,1622,37.0,31.0,1014,1686,1640.0,1486,1622,1688,6.25
50,74.3530582,31.4594829,1880902,5878,3032,2845,1.0,83.72,100.0,840,648,,788,668,,262,290.0,1.0,5808,70.0,4459,3574,382,958,3004,88.41,92.72,2012,1589,954,950,1.0,3.0,948,954,852.0,931,952,953,6.12
51,74.3553163,31.4620715,1880903,8930,4584,4342,4.0,74.76,75.0,1311,1120,,937,810,2.0,192,211.0,,8892,38.0,6705,5304,529,2667,4339,77.36,79.85,2244,1630,1348,1311,16.0,21.0,1120,1343,1310.0,1104,1323,1347,6.62
52,74.358504,31.462411,1880904,8759,4672,4083,4.0,68.6,25.0,1285,910,,950,812,,295,260.0,,8635,124.0,6650,5252,393,2032,4314,72.29,75.49,2519,1855,1411,1387,6.0,18.0,1364,1408,1360.0,1266,1392,1411,5.97
53,74.359342,31.465619,1880905,15227,7948,7275,4.0,67.75,50.0,2335,1799,2.0,1348,1120,,179,193.0,,14595,632.0,11303,8790,679,4221,6914,73.11,77.95,3731,2476,2268,2207,37.0,24.0,2103,2252,2099.0,1962,2252,2266,6.59
54,74.356461,31.47022,1880906,16085,8263,7818,4.0,69.82,75.0,2238,1980,2.0,1119,1094,,210,228.0,,14616,1469.0,12113,9464,866,4589,7783,72.2,74.44,3583,2654,2387,2276,36.0,75.0,1939,2379,2256.0,2126,2312,2384,6.57
55,74.354159,31.457795,1881001,13942,7133,6807,2.0,82.48,50.0,1890,1515,,1893,1642,1.0,479,494.0,,13686,256.0,10643,8443,847,4124,7969,86.03,89.37,4071,3271,2185,2163,6.0,16.0,2173,2182,1753.0,2146,2175,2183,6.38
56,74.355322,31.454505,1881002,16882,8607,8275,,80.51,,2378,2097,,2000,1793,,437,450.0,,15806,1076.0,12886,10151,1029,5037,8364,82.97,85.33,5123,3919,2646,2605,17.0,24.0,2622,2640,2342.0,2633,2612,2645,6.37
57,74.353709,31.452001,1881003,6454,3380,3071,3.0,71.85,,993,837,,659,565,,121,105.0,,5561,893.0,4902,3801,374,1892,3116,75.19,78.34,2182,1575,978,931,14.0,33.0,946,977,927.0,897,951,977,6.53
58,74.360137,31.453039,1881004,16984,8795,8184,5.0,70.28,20.0,2383,1933,,1417,1393,,208,210.0,,16643,341.0,12716,9834,897,5160,7859,72.67,74.92,4633,3449,2538,2476,37.0,25.0,2361,2529,2364.0,2289,2520,2533,6.69
59,74.361971,31.460461,1881101,21096,10792,10299,5.0,80.14,100.0,2598,2284,3.0,2614,2319,1.0,1114,1017.0,1.0,20629,467.0,16003,12707,1114,5949,11057,83.8,87.27,6939,5381,3391,3303,55.0,33.0,2933,3380,3240.0,2877,3359,3387,6.11
60,74.377427,31.464053,1881102,19617,9994,9623,,91.67,,1355,1132,,1973,2164,,4012,3633.0,,19250,367.0,16506,14003,2498,6019,13564,92.96,94.2,4259,4176,3760,3726,6.0,28.0,3438,3751,3665.0,3755,3743,3757,5.04
61,74.363338,31.456146,1881103,18438,9570,8858,10.0,65.35,60.0,2403,1894,3.0,1324,1294,3.0,535,465.0,,16305,2133.0,13716,10594,861,2570,8718,68.39,71.21,3594,2388,2969,2819,123.0,27.0,2941,2957,2840.0,2501,2959,2961,6.1
62,74.3771,31.459907,1881104,10727,5316,5410,1.0,93.41,,825,763,,1512,1571,,1572,1547.0,,10657,70.0,8664,7139,1000,3179,6809,94.86,96.4,2729,2612,1950,1937,3.0,10.0,750,1942,1887.0,1933,1940,1941,5.33
63,74.406953,31.478618,1881105,7486,4095,3391,,90.01,,730,387,,798,763,,1475,1280.0,,7353,133.0,6424,5476,1036,2823,5301,90.89,91.61,2675,2682,1293,1276,8.0,9.0,246,1292,1246.0,1292,1287,1289,5.61
64,74.413152,31.48438,1881106,17013,8840,8172,1.0,69.13,100.0,1924,1521,,1491,1277,1.0,791,729.0,,16606,407.0,12856,9812,809,1514,8239,73.04,76.66,3503,2784,2703,2627,52.0,24.0,2274,2683,2270.0,2239,2685,2694,6.22
65,74.413914,31.459727,1881107,17441,9123,8316,2.0,84.78,50.0,1597,1187,,1654,1623,,2720,2462.0,1.0,17213,228.0,14118,11523,1627,5873,10706,86.97,88.97,2444,2152,3032,2971,19.0,42.0,1502,3017,2750.0,2841,2978,3022,5.61
66,74.40215,31.46764,1881108,17908,9660,8247,1.0,89.26,100.0,1344,931,,2111,1927,,3824,3046.0,1.0,17617,291.0,15297,13075,2026,4943,12018,90.28,91.12,1928,1945,3217,3173,10.0,34.0,1643,3207,3051.0,3183,3189,3210,5.11
67,74.417543,31.478177,1881109,19252,9961,9290,1.0,78.15,100.0,2122,1827,1.0,2062,1822,,1480,1305.0,,18747,505.0,14424,11128,1046,5074,9626,81.57,84.79,2831,2210,3276,3156,84.0,36.0,2726,3239,2875.0,2813,3230,3250,5.82
